"Bay Roberts, Newfoundland and Labrador",47.5499061,-53.342793
"Carbonear, Newfoundland and Labrador",47.714903,-53.27427
"Corner Brook, Newfoundland and Labrador",48.92246,-57.9919229
"Gander, Newfoundland and Labrador",48.8855047,-54.719343
"Grand Falls-Windsor, Newfoundland and Labrador",48.922132,-55.7369881
"Labrador City, Newfoundland and Labrador",52.9235487,-66.9683691
"St. John's, Newfoundland and Labrador",47.4823031,-53.1088741
"Charlottetown, Prince Edward Island",46.2272263,-63.1966702
"Summerside, Prince Edward Island",46.3864897,-63.8471029
"Cape Breton, Nova Scotia",45.5481085,-61.5525964
"Chester, Nova Scotia",44.527052,-64.2637175
"East Hants, Nova Scotia",44.782758,-64.0123552
"Halifax, Nova Scotia",44.432602,-64.237147
"Kentville, Nova Scotia",45.056583,-64.565844
"Lunenburg, Nova Scotia",44.3646592,-64.3348059
"New Glasgow, Nova Scotia",45.5652009,-62.6678809
"Queens, Nova Scotia",43.7894692,-65.3958211
"Truro, Nova Scotia",45.308032,-63.308781
"West Hants, Nova Scotia",44.7608869,-64.4323899
"Yarmouth, Nova Scotia",43.817427,-66.1258847
"Bathurst, New Brunswick",47.572558,-65.7231751
"Campbellton, New Brunswick part, New Brunswick/Quebec",47.9940647,-66.6861935
"Edmundston, New Brunswick",47.3183866,-68.441224
"Fredericton, New Brunswick",45.868781,-66.7833939
"Miramichi, New Brunswick",46.9246971,-65.617248
"Moncton, New Brunswick",46.0503423,-64.9153721
"Oromocto, New Brunswick",45.8113529,-66.534794
"Saint John, New Brunswick",45.1415684,-66.238872
"Alma, Quebec",48.4892981,-71.8202401
"Amos, Quebec",48.502258,-78.224091
"Asbestos, Quebec",45.738265,-72.0122431
"Baie-Comeau, Quebec",49.169095,-68.502314
"Bécancour, Quebec",46.193611,-72.612476
"Campbellton, Quebec part, New-Brunswick/Quebec",47.9940647,-66.6861935
"Chibougamau, Quebec",49.7341547,-74.4683467
"Cowansville, Quebec",45.1826891,-72.8361951
"Dolbeau-Mistassini, Quebec",48.7087691,-72.3359279
"Drummondville, Quebec",45.752789,-72.653972
"Gaspé, Quebec",48.74472,-64.6407063
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",45.51732772,-75.56236428
"Granby, Quebec",45.337876,-72.845836
"Hawkesbury, Quebec part, Ontario/Quebec",45.6109074,-74.6464085
"Joliette, Quebec",45.977134,-73.472423
"La Baie, Quebec",48.2369191,-71.023797
"La Tuque, Quebec",47.061757,-75.5245911
"Lachute, Quebec",45.600526,-74.380056
"Les Îles-de-la-Madeleine, Quebec",47.2115225,-62.0216786
"Magog, Quebec",45.16098,-72.2411413
"Matane, Quebec",48.71294,-67.6229941
"Mirabel, Quebec",45.5168799,-74.267559
"Mont-Laurier, Quebec",46.431209,-75.7495391
"Montmagny, Quebec",46.8776731,-70.6726009
"Montréal, Quebec",45.410246,-73.9488651
"Pembroke, Quebec part, Ontario/Quebec",45.8161148,-77.1855598
"Prévost, Quebec",45.817755,-74.1116639
"Québec, Quebec",46.7307989,-71.549445
"Rawdon, Quebec",45.9778589,-73.881666
"Rimouski, Quebec",48.2790331,-68.8210533
"Rivière-du-Loup, Quebec",47.7556,-69.5861798
"Roberval, Quebec",48.375836,-72.343921
"Rouyn-Noranda, Quebec",47.701528,-79.5177699
"Saint-Félicien, Quebec",48.576019,-72.6172799
"Saint-Georges, Quebec",45.985501,-70.778231
"Saint-Hyacinthe, Quebec",45.5566061,-73.048221
"Saint-Jean-sur-Richelieu, Quebec",45.233267,-73.4113779
"Saint-Jérôme, Quebec",45.7432979,-74.140956
"Saint-Lin--Laurentides, Quebec",45.804509,-73.9016199
"Sainte-Adèle, Quebec",45.911281,-74.2462151
"Sainte-Marie, Quebec",46.36961,-71.0902501
"Sainte- Sophie, Quebec",45.766051,-74.0330469
"Saguenay, Quebec",48.189332,-71.5636171
"Salaberry-de-Valleyfield, Quebec",45.2188699,-74.1977951
"Sept-Îles, Quebec",50.0773613,-66.7256079
"Shawinigan, Quebec",46.459677,-73.1791349
"Sherbrooke, Quebec",45.300932,-72.145805
"Sorel-Tracy, Quebec",45.955346,-73.1842089
"Thetford Mines, Quebec",46.020321,-71.4319018
"Trois-Rivières, Quebec",46.2772621,-72.777884
"Val-d'Or, Quebec",48.0405905,-77.9480429
"Victoriaville, Quebec",46.0011579,-72.0452691
"Barrie, Ontario",44.2938755,-79.7456249
"Belleville, Ontario",44.1372886,-77.473389
"Bracebridge, Ontario",44.9150391,-79.4495478
"Brantford, Ontario",43.101638,-80.3539261
"Brighton, Ontario",43.9722501,-77.8515259
"Brock, Ontario",44.33622002,-79.09675898
"Brockville, Ontario",44.56404,-75.7366259
